FechaInventario,GLN_Cliente,GLN_Sucrusal,Gtin_Producto,Inventario_Final,PrecioUnidad
28/03/2022,7711000000183,7701023999014,7708951417931,0,7731.09
28/03/2022,7711000000183,7701023999014,7708951417986,11,7731.09
28/03/2022,7711000000183,7701023999014,7709200988233,9,7731.09
28/03/2022,7711000000183,7701023999021,7708951417931,35,7731.09
28/03/2022,7711000000183,7701023999021,7708951417986,5,7731.09
28/03/2022,7711000000183,7701023999021,7709200988233,5,7731.09
28/03/2022,7711000000183,7701023999038,7708951417931,13,7731.09
28/03/2022,7711000000183,7701023999038,7708951417986,2,7731.09
28/03/2022,7711000000183,7701023999038,7709200988233,6,7731.09
28/03/2022,7711000000183,7701023999090,7708951417931,15,7731.09
28/03/2022,7711000000183,7701023999090,7708951417986,2,7731.09
28/03/2022,7711000000183,7701023999090,7709200988233,5,7731.09
28/03/2022,7711000000183,7701023999472,7708951417924,26,10840.34
28/03/2022,7711000000183,7701023999472,7754487001656,8,1386.56
28/03/2022,7711000000183,7701023999472,7754487001663,2,1386.56
28/03/2022,7711000000183,7701023999472,7754487001670,7,1386.56
28/03/2022,7711000000183,7701023999472,7754487001687,11,1386.56
